...1,IRS_audit,year,prices_adj,market_value,income_taxes,pretax_income,gross_income,net_sales_revenue,operating_profit_margin,employees,crnt_total_assets,DS_total_assets,turnover_value,turnover_volume,enterprise_value,total_capital
421,0,2007,608.516,45702.3,877000,3311000,10243000,34589000,12.34,122000,13685000,33168000,NA,1221148,51793321,14641000
422,0,2008,310.323,22667.4,1009000,3738000,11013000,36556000,12.42,128000,13263000,33355000,NA,1544376,30426466,13052000
423,0,2009,39.653,30430.19,789000,2952000,9461000,30854000,12.5,122000,13936000,33987000,NA,1580995,34858004,15200000
424,0,2010,529.966,41583.19,808000,2814000,9874000,33389000,11.18,130000,15011000,36616000,NA,1346057,45281280,16542000
425,0,2011,544.781,42379.91,417000,2231000,10425000,36500000,9.13,132000,16134000,37676000,NA,1230450,45573945,17783000
426,0,2012,625.618,49289.75,944000,3830000,11649000,37665000,12.21,132000,17598000,39964000,NA,893319.7,52155316,19610000
427,1,2013,906.212,71515,1450000,5376000,10698000,39062000,14.06,131000,21164000,45067000,NA,755332.5,72610806,24547000
428,1,2014,NA,79588.25,1489000,5782000,11349000,40306000,14.44,127000,22191000,45047000,772290.6,715947,78082424,24049000
429,0,2015,NA,81184.56,1739000,6556000,11834000,38581000,17.64,129000,20053000,49033000,47597790,779997.4,84725328,24262000
430,0,2013,44.948,25853.2,230000,500000,1513000,1674000,57.05,4232,44259000,64818000,NA,1016925,-12250200,16860000
431,0,2014,44.426,25035.64,402000,1407000,2759000,3092000,51,2902,50245000,68279000,469112.1,1138801,-20373230,14804000
432,0,2015,51.548,28290.75,358000,1653000,2964000,3338000,55.06,5549,53313000,77987000,22148080,889532.4,-14612060,19592000
433,1,2011,13.14,140.57,0,10331,NA,14810,69.76,NA,NA,145487,NA,14256.3,143456,145487
434,0,2012,14.87,548.89,0,31784,NA,45103,70.47,NA,NA,345331,NA,38017.3,362461,341926
435,0,2013,14.96,675.59,0,61964,55948,96303,64.34,NA,NA,650107,NA,90241.4,NA,650107
436,0,2014,14.93,864.72,436,46011,142136,144526,31.84,NA,NA,1514920,49796.1,114585.9,958043,917170
437,0,2015,12.81,819.91,160,33115,137852,141066,23.47,NA,NA,1602138,985501.1,75195.8,918248,951908
438,1,2007,94.86,200291.3,13479000,28130000,60630000,203970000,12.56,65000,39377000,147975000,NA,2508927,194442202,83363000
439,1,2008,71.55,145374.6,19026000,37691000,73018000,255112000,13.72,67000,36470000,158479000,NA,3908261,148063025,93200000
440,0,2009,77.21,154903.8,7965000,15212000,46635000,159387000,9.27,64000,37216000,163353000,NA,3013213,156913502,102691000
441,1,2010,91.37,183875.6,12919000,26418000,58966000,189607000,13.58,62000,48841000,183918000,NA,2601618,178318621,117100000
442,0,2011,107.47,214024.8,20626000,40271000,72476000,236541000,16.29,61000,53234000,208250000,NA,2304525,201676161,131993000
443,1,2012,106.45,208341.9,19996000,39443000,66746000,222629000,15.76,62000,55720000,230320000,NA,1620997,202102910,149897000
444,0,2013,125.23,240838.9,14308000,28378000,61106000,211772000,12.94,64600,50250000,250799000,NA,1444851,244257159,170484000
445,1,2014,113.32,214222.9,11892000,24104000,53289000,191755000,9.99,64700,42232000,262429000,3113889,1642217,226625003,180219000
446,0,2015,91.25,171735.8,132000,158000,28191000,122289000,-3.24,61500,35347000,261591000,128622900,2331137,199294947,187550000
447,1,2005,23.45,172859.1,3424000,11534000,39561000,51298000,29.9,106000,41896000,116844000,NA,7418561,167537520,71974000
448,0,2006,25.9,186750.4,1992000,13028000,37862000,48371000,31.2,98000,46949000,114483000,NA,7869973,164919600,76904000
449,0,2009,18.56,149770.5,2197000,10827000,38419000,50009000,32.01,116500,61670000,211621000,NA,14107250,169453300,133639000
450,0,2010,17.6,140975,1124000,9422000,46652000,67809000,26.38,110600,60468000,193825000,NA,13865040,156300120,126675000
451,1,2011,21.71,166883.9,4023000,12762000,47562000,67425000,29.31,103700,57728000,186802000,NA,12346820,176233000,117552000
452,1,2012,24.89,183254.4,2562000,12080000,42775000,58986000,32.15,91500,61415000,185798000,NA,8449523,187685987,112714000
453,0,2013,30.64,198579.9,4306000,15716000,37630000,51584000,32.74,77700,56244000,170547000,NA,9216336,200428370,107082000
454,1,2014,31.39,197777.6,3120000,12240000,36042000,49605000,27.32,78300,57702000,167730000,1872774,6583717,196874650,103163000
455,0,2015,32.83,202659.4,1990000,8964000,35550000,48851000,26.02,97900,43804000,165666000,143509200,7244126,215321000,93816000
456,0,2008,8.96,434.56,1357,3012,0,0,NA,4,143,401982,NA,22746.3,556359,390251
457,0,2009,8.13,571.11,-1321,-45481,16854,75989,-16.2,166,221056,808832,NA,62201.5,416911,627700
458,0,2010,8.27,580.98,12921,35612,164666,348173,22.62,174,208729,1047449,NA,114644.4,617027,790664
459,1,2011,7.58,554.89,24900,64581,195667,384307,28.96,197,227242,1374186,NA,137917.1,848078,1118400
460,0,2012,6.29,472.22,30387,95018,188188,383520,27.4,211,367166,1916341,NA,101465.1,1011268,1628345
461,0,2013,6.46,495.23,47948,110465,196261,382649,28.72,224,369558,2309796,NA,179209.7,1363603,1978698
462,0,2014,10.15,951.48,41463,116452,219134,408557,30.08,233,573113,2909681,54599.5,256696.2,1825590,2523265
463,0,2015,8.9,845.05,65992,73115,258431,411378,39.1,244,481718,3204230,2023014,229204.1,1932838,2750543
464,0,2004,15.24,168.63,-6840,2431,109253,391300,1.71,1025,148153,282973,NA,10250.7,191406,239055
465,0,2005,15.05,154.58,7398,5615,109310,396032,2.25,938,134017,263837,NA,9868.1,170826,235667
466,0,2006,17.74,183.52,5375,4977,93331,347334,0.71,818,136006,308963,NA,7214.7,174137,273468
467,0,2007,15.2,153.96,14690,38172,65955,223975,2.15,541,193190,387049,NA,10465,138068,319544
468,0,2008,7.27,69.36,-2387,-8663,47080,230627,-0.84,122,142645,432591,NA,37355.1,98411,367572
469,0,2009,14.08,128.89,4553,7584,19733,170264,8.05,114,132145,443037,NA,9807.7,216171,401785
470,0,2010,15.21,144.34,3019,-4769,30374,301674,6.85,58,125849,370516,NA,7243.4,156444,340937
471,0,2011,21.96,182.75,15902,26293,33836,409952,6.02,105,127039,438049,NA,9644.9,292149,390370
472,0,2012,18.99,154.91,-1639,-4483,13536,657737,0.15,102,114927,405330,NA,9508.8,243827,365589
473,0,2013,45.57,368.1,20695,42595,64151,666091,6.95,105,148810,427868,NA,10025.9,333325,374253
474,0,2014,62.2,497.8,49649,120573,141939,572230,21.41,106,175745,456947,19973.1,44488.1,343769,392964
475,0,2015,54.72,375.27,14108,42534,50834,436488,7.11,116,179360,414685,1073457,40666.1,263880,355759
476,0,2004,702.788,41774.99,1061000,3241000,10500000,31323000,10.32,68000,21082000,28536000,NA,940693.4,36689160,17909000
477,1,2005,933.774,56790.05,1921000,6520000,11777000,36843000,11.5,69000,27869000,34404000,NA,1017113,45968849,20479000
478,1,2006,842.035,49703.03,1349000,4610000,12768000,42879000,9.7,66000,30975000,37268000,NA,1236707,38047544,19846000
479,1,2007,666.748,37188.74,-285000,-390000,10056000,36622000,1.46,66000,22222000,32358000,NA,1709648,31979124,19400000
480,1,2008,165.868,9178.69,1607000,-2637000,8077000,30146000,-1.2,64000,17363000,25441000,NA,1714037,7138895,13448000
481,0,2009,319.449,18025.35,-77000,-165000,6797000,22044000,0.95,53000,16032000,23319000,NA,1645989,13877896,13138000
482,1,2010,367.366,21076.67,406000,677000,6646000,19282000,3.88,51000,17154000,23958000,NA,1925794,15319260,13111000
483,1,2011,46.58,15163.46,-3000,738000,3944000,8203000,12.03,23000,8768000,11554000,NA,957084,11261252,6404000
484,1,2012,54.08,15169.43,337000,1215000,4320000,8698000,14.74,22000,7401000,10263000,NA,515204.3,13658248,5149000
485,0,2013,67.33,17419.1,40000,1135000,8468000,8696000,66.43,21000,7020000,9775000,NA,461056.4,16425750,6129000
486,1,2014,67.87,16337.81,-465000,-1177000,2826000,5881000,-16.26,15000,6879000,8272000,309500.1,438614.9,14221184,6162000
487,0,2015,69.64,12295.77,274000,911000,2711000,5695000,18.79,14000,4582000,6109000,16269450,421182.8,13949835,4290000
488,0,2010,24.105,870.49,19745,60282,91429,314708,18.99,1112,128181,186836,NA,21100.3,814686,141214
489,0,2011,31.3,1133.31,25063,75698,116192,381511,19.83,1405,147559,245703,NA,28869.2,1149861,180590
490,0,2012,25.68,932.15,25091,77646,127673,406175,19.13,1379,156748,273210,NA,20477.7,929007,221447
491,0,2013,41.7,1518.19,20721,63623,119354,394677,16.21,1286,169405,301819,NA,25013.4,1310829,251462
492,1,2014,25.69,977.46,11705,43501,103246,378153,11.58,1200,170979,362873,42485.8,32708.8,763677,305237
493,0,2015,16,584.09,2221,10782,65785,258229,7.17,910,125733,306610,920225.8,47557.8,514247,268865
494,1,2007,81.43,8692.81,309278,954602,NA,4596167,24.36,13869,NA,64875639,NA,154870.4,23380989,16803201
495,1,2008,53.63,5914.64,183892,777232,NA,4403023,21.12,13620,NA,65815757,NA,432237,20474152,16629020
496,1,2009,66.83,7892.05,139400,545189,NA,3942920,19.6,14226,NA,68880399,NA,379713.8,20142291,15453103
497,1,2010,87.38,10431.25,356628,1118557,NA,3920118,30.04,13365,NA,68021263,NA,351413.5,19076943,14310986
498,1,2011,76.94,9665.66,365121,1248831,NA,4350105,31.46,15666,NA,77924287,NA,245002.1,16478017,14285701
499,1,2012,97.55,12486.97,523028,1574037,NA,4674653,34.91,14943,NA,83008803,NA,176921.4,17201706,14552249
500,1,2013,116.07,15115.7,579069,1733675,NA,4838665,36.09,15893,NA,85162391,NA,197918.8,19872179,16392381
501,1,2014,127.52,16846.91,575999,1658917,NA,4752822,34.9,15782,NA,96685535,743826.9,181681.3,25762320,21336411
502,1,2015,124,22045.47,595025,1688959,NA,5010148,33.71,17476,NA,122787884,28936450,239339.3,31985406,25720534
503,0,2007,7.95,78.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2662.6,NA,NA
504,0,2008,0.25,2.06,NA,NA,NA,NA,NA,2,NA,NA,NA,32659.3,NA,NA
505,0,2009,0.425,13.09,0,-10296,163,619,-1122.31,6,1129,1624,NA,12076.3,14984,-6683
506,0,2012,0.0975,9.21,0,-5903,216,804,-676.51,7,552,1979,NA,38480.1,12103,-6615
507,0,2013,0.175,22.34,0,-7639,325,587,-1202.86,6,377,2172,NA,46639.6,25124,-7870
508,0,2014,0.0515,7.85,NA,-2180,2201,2580,-132.55,NA,533,2356,NA,38682.9,10522,-6742
509,0,2015,0.012,2.54,NA,-2996,-309,191,-1848.14,NA,28,717,NA,27582,4449,-8204
510,0,2008,1,12.56,66,-32869,12567,102532,-6.51,156,38018,57439,NA,4312.2,5543,25170
511,0,2009,0.63,7.99,0,-16203,6560,48111,-11.96,113,18524,23254,NA,12193.4,10166,8308
512,0,2010,1.36,18.17,0,860,11609,74904,1.31,114,22750,27037,NA,8818.7,10307,9437
513,0,2011,0.83,11.09,0,1840,12245,36855,2.74,107,17106,21333,NA,3552.5,8446,11176
514,0,2012,0.48,7.07,0,-3960,9147,47674,-2.75,79,14376,16498,NA,6702.2,3703,7163
515,0,2013,0.37,5.39,0,-2794,8615,44429,-5.8,104,13411,17025,NA,3422,6479,3973
516,0,2014,0.49,7.45,53,-2750,8073,27985,-8.84,NA,6768,10415,NA,2505.9,6144,1521
517,0,2015,0.13,2.03,21,-2184,7802,29487,-6.27,NA,9514,13027,NA,2152.6,4410,454
518,1,2004,46.86,189275.7,7078000,21221000,NA,65910000,33.84,175742,NA,1110457000,NA,1668302,457899197,188212000
519,1,2005,46.19,185502.6,8015000,24480000,NA,85064000,29.26,176638,NA,1291803000,NA,2842879,605629624,191193000
520,0,2006,53.39,239757.8,10840000,31973000,NA,116574000,28.12,203425,NA,1459737000,NA,3245566,709269703,264078000
521,1,2007,41.1,182414.7,5942000,20924000,NA,119190000,17.9,210000,NA,1715746000,NA,5661243,755017152,313876000
522,0,2008,12.94,64927.41,420000,3889000,NA,112452000,4.19,243000,NA,1817943000,NA,19745250,709995493,402462000
523,0,2009,15.12,130799.4,-1266000,2296000,NA,143272000,-0.07,284000,NA,2223299000,NA,83698560,811550674,572321000
524,1,2010,13.31,134233.3,915000,-6583000,NA,129645000,7.67,288000,NA,2264909000,NA,47652450,796757965,587428000
525,0,2011,5.46,55341.83,-1676000,-7590000,NA,107242000,1.27,282000,NA,2097047000,NA,53614990,580034815,504951000
526,1,2012,11.36,122438.9,-1116000,1002000,NA,98061000,1.08,267000,NA,2176936000,NA,49416480,633025641,457344000
527,0,2013,15.67,167138.3,4741000,13271000,NA,98816000,13.45,242000,NA,2069917000,NA,30180380,540723455,436283000
528,1,2014,18.11,190452.9,2022000,5725000,NA,94081000,6.12,224000,NA,2104534000,3460912,21611360,544448945,455886000
529,0,2015,17.28,179927.6,6266000,21893000,NA,92906000,23.68,213000,NA,2144316000,186813300,21295010,476772861,449635000
530,0,2005,31.55,1034.52,82405,207105,297722,1808003,9.77,3900,540777,993463,NA,71488,748498,672729
